"NAME","Year","Total_Avg_Annual_Pay_Total","Total_Avg_Annual_Pay_Black_Business","Total_Avg_Employees_Total","Total_Avg_Employees_Black_Business","Total_Sum_of_Firms_Total","Total_Sum_of_Firms_Black_Business"
"Beckley, WV Metro Area",2019,28316.2124756335,0,678.222222222222,1,20481,0
"Beckley, WV Metro Area",2020,14888.2408477842,373.533333333333,376.075144508671,22.3333333333333,7547,82
"Beckley, WV Metro Area",2021,40393.161849711,0,1053.08092485549,1,43148,0
"Bellingham, WA Metro Area",2018,66325.0163132137,0,1500.12398042414,1,101775,0
"Bellingham, WA Metro Area",2019,86442.130794702,0,1974.22682119205,1,134620,0
"Bellingham, WA Metro Area",2020,77407.6398176292,4.14285714285714,1843.98480243161,1,152632,7
"Bellingham, WA Metro Area",2021,87563.5962099125,1660,1618.90524781341,37.0476190476191,162416,152
"Bend-Redmond, OR Metro Area",2018,57417.4084278768,0,1616.87196110211,1,135115,0
"Bend-Redmond, OR Metro Area",2019,72707.6743421053,0,1624.11184210526,1,140258,0
"Bend-Redmond, OR Metro Area",2020,92409.5577746077,3990.38461538462,2356.9757489301,93.2307692307692,196177,30
"Bend-Redmond, OR Metro Area",2021,113164.015873016,2925.38888888889,2135.64646464646,51.1666666666667,213817,45
"Billings, MT Metro Area",2018,57989.4542372881,0,1716.12033898305,1,113862,0
"Billings, MT Metro Area",2019,43230.6398026316,0,919.549342105263,1,56479,0
"Billings, MT Metro Area",2020,86530.4784,248.285714285714,2030.2976,9.78571428571429,128414,10
"Billings, MT Metro Area",2021,76157.5852187029,0,1498.17345399698,1,130104,0
"Binghamton, NY Metro Area",2018,51450.2759295499,0,1391.74951076321,1,67185,0
"Binghamton, NY Metro Area",2019,65282.0708955224,0,1850.71455223881,1,80540,0
"Binghamton, NY Metro Area",2020,39247.2670250896,17.2777777777778,984.258064516129,1.38888888888889,33635,11
"Binghamton, NY Metro Area",2021,83694.8242990654,200.363636363636,1998.97570093458,25,98196,120
"Birmingham-Hoover, AL Metro Area",2018,436141.271041369,15940.6333333333,8836.61340941512,585.1,451569,1852
"Birmingham-Hoover, AL Metro Area",2019,502362.450704225,14363,10155.0211267606,392.3125,473155,2988
"Birmingham-Hoover, AL Metro Area",2020,555412.427807487,1417.43333333333,11108.314171123,52.6333333333333,587951,270
"Birmingham-Hoover, AL Metro Area",2021,575303.964751958,29598,10139.9242819843,1195.26470588235,608402,4894
"Bismarck, ND Metro Area",2018,32201.9945750452,0,655.271247739602,1,31351,0
"Bismarck, ND Metro Area",2019,27423.1533101045,0,570.102787456446,1,28089,0
"Bismarck, ND Metro Area",2020,38102.4492254733,587.375,791.075731497418,63.25,33509,7
"Bismarck, ND Metro Area",2021,81421.3524451939,9,1673.25463743676,1.35714285714286,76097,8
"Blacksburg-Christiansburg-Radford, VA Metro Area",2018,22396.9212121212,0,612.531313131313,1,18436,0
"Blacksburg-Christiansburg-Radford, VA Metro Area",2019,28286.2676579926,0,741.736059479554,1,32391,0
"Blacksburg-Christiansburg-Radford, VA Metro Area",2020,54642.460035524,366.461538461538,1233.74422735346,27.3076923076923,58103,40
"Blacksburg-Christiansburg-Radford, VA Metro Area",2021,32665.5699300699,30.25,667.087412587413,3.75,33294,30
"Bloomington, IL Metro Area",2018,65254.8699808795,0,1367.35564053537,1,51094,0
"Bloomington, IL Metro Area",2019,53432.0846846847,0,1103.94594594595,1,35943,0
"Bloomington, IL Metro Area",2020,83810.8752166378,28.7272727272727,1788.94800693241,5.36363636363636,70833,3
"Bloomington, IL Metro Area",2021,113531.769896194,0,1595.1107266436,1,63228,0
"Bloomington, IN Metro Area",2018,36349.7095588235,0,848.496323529412,1,32443,0
"Bloomington, IN Metro Area",2019,49623.6349514563,0,1252.34563106796,1,40820,0
"Bloomington, IN Metro Area",2020,72985.3940455342,0,1846.57968476357,1,62035,0
"Bloomington, IN Metro Area",2021,81710.2369337979,0,1502.38850174216,1,53274,0
"Bloomsburg-Berwick, PA Metro Area",2018,26427.2881355932,0,608.65617433414,0,17153,0
"Bloomsburg-Berwick, PA Metro Area",2019,21069.6152019002,0,337.605700712589,0,3076,0
"Bloomsburg-Berwick, PA Metro Area",2020,24625.6165577342,0,432.908496732026,0,6784,0
"Bloomsburg-Berwick, PA Metro Area",2021,25296.8558558559,0,427.112612612613,0,5043,0
"Boise City, ID Metro Area",2018,221046.430747922,0,5226.70498614958,1,400334,0
"Boise City, ID Metro Area",2019,289651.268392371,0,6369.26566757493,1,390743,0
"Boise City, ID Metro Area",2020,334551.721854305,104.904761904762,7558.13245033113,6.61904761904762,501512,19
"Boise City, ID Metro Area",2021,400788.580025608,41.36,8328.54289372599,1,623311,42
"Boston-Cambridge-Newton, MA-NH Metro Area",2018,3297558.91939547,41993.3235294118,51387.3261964736,1194.32352941176,2685146,6112
"Boston-Cambridge-Newton, MA-NH Metro Area",2019,3422602.50062893,60277.6857142857,50642.4540880503,1965.51428571429,2779342,6654
"Boston-Cambridge-Newton, MA-NH Metro Area",2020,4106043.72781775,74248.7567567568,59075.7529976019,2544.94594594595,3496140,11490
"Boston-Cambridge-Newton, MA-NH Metro Area",2021,4405762.14845606,85819.027027027,53923.5,2135.45945945946,3545455,9956
"Boulder, CO Metro Area",2018,182724.954545455,0,3289.92815249267,1,263476,0
"Boulder, CO Metro Area",2019,198289.192424242,0,3370.53787878788,1,255414,0
"Boulder, CO Metro Area",2020,241195.670781893,3.63157894736842,4172.00548696845,1,330743,5
"Boulder, CO Metro Area",2021,268485.957823129,74.0555555555556,4113.44353741497,1.22222222222222,377822,14
"Bowling Green, KY Metro Area",2018,22699.0059171598,0,570.956607495069,1,14999,0
"Bowling Green, KY Metro Area",2019,49114.682,0,1518.14,1,43508,0
"Bowling Green, KY Metro Area",2020,58343.6007067138,3.2,1792.20494699647,1,60873,4
"Bowling Green, KY Metro Area",2021,57555.5042589438,147.625,1452.12436115843,4.25,50061,10
"Bremerton-Silverdale, WA Metro Area",2018,43409.4886561955,0,1120.97556719023,1,95740,0
"Bremerton-Silverdale, WA Metro Area",2019,27087.6006546645,0,625.839607201309,1,42872,0
"Bremerton-Silverdale, WA Metro Area",2020,49954.8693009119,683.470588235294,1028.3009118541,123.058823529412,85876,148
"Bremerton-Silverdale, WA Metro Area",2021,71886.6611195159,41.75,1486.85627836611,1,142393,14
"Bridgeport-Stamford-Norwalk, CT Metro Area",2018,665146.030812325,4806.85714285714,8749.47478991597,105.357142857143,535859,919
"Bridgeport-Stamford-Norwalk, CT Metro Area",2019,594079.962290503,585.566666666667,8427.94553072626,14.3,520690,157
"Bridgeport-Stamford-Norwalk, CT Metro Area",2020,478377.939919893,11994.3225806452,7113.33778371162,212.967741935484,386345,1113
"Bridgeport-Stamford-Norwalk, CT Metro Area",2021,669983.281708945,5283.8125,9080.93991989319,96.28125,690685,651
"Brownsville-Harlingen, TX Metro Area",2018,58597.0125588697,0,1956.06279434851,1,89911,0
"Brownsville-Harlingen, TX Metro Area",2019,41486.607615894,0,1546.04139072848,1,61090,0
"Brownsville-Harlingen, TX Metro Area",2020,45835.517699115,0.266666666666667,1636.0191740413,1,68934,2
"Brownsville-Harlingen, TX Metro Area",2021,82447.1341107872,194,2550.94460641399,7.82352941176471,122658,28
"Brunswick, GA Metro Area",2018,24937.4471544715,0,712.15243902439,1,48822,0
"Brunswick, GA Metro Area",2019,26856.3734439834,0,672.688796680498,1,34087,0
"Brunswick, GA Metro Area",2020,28404.7416356877,0.833333333333333,948.918215613383,1,50142,1
"Brunswick, GA Metro Area",2021,25838.6146788991,39.2,622.770642201835,1.48,43354,13
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",2018,447628.153166421,1067.2962962963,10909.1428571429,29.962962962963,504801,208
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",2019,401567.113960114,2016.4,9457.83760683761,73.9,484697,388
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",2020,500926.670748299,3072.58620689655,12802.8272108844,80.9310344827586,604352,211
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",2021,554969.465333333,11858.625,11614.3746666667,418.71875,673938,2188
"Burlington, NC Metro Area",2018,27352.6903353057,0,673.92899408284,1,22120,0
"Burlington, NC Metro Area",2019,44693.0806142035,0,1161.99040307102,1,41990,0
"Burlington, NC Metro Area",2020,28027.2119565217,1300.75,726.766304347826,85.4375,19979,33
"Burlington, NC Metro Area",2021,72426.1963087248,55.2916666666667,1460.61912751678,1.66666666666667,55761,14
"Burlington-South Burlington, VT Metro Area",2018,116693.892255892,0,2554.62121212121,1,128985,0
"Burlington-South Burlington, VT Metro Area",2019,95406.2913256956,0,2024.78068739771,1,116946,0
"Burlington-South Burlington, VT Metro Area",2020,109329.484615385,1316.11111111111,2168.42153846154,49,129266,199
"Burlington-South Burlington, VT Metro Area",2021,149788.377300614,53.5,2562.57668711656,1.5,160369,7
"California-Lexington Park, MD Metro Area",2018,18027.3694779116,0,266.684738955823,1,4885,0
"California-Lexington Park, MD Metro Area",2019,46001.4601593625,0,798.906374501992,1,20775,0
"California-Lexington Park, MD Metro Area",2020,37092.8286778399,945.227272727273,559.783985102421,50.2727272727273,14188,74
"California-Lexington Park, MD Metro Area",2021,46024.9280442804,1238.27272727273,675.178966789668,52.4090909090909,25652,151
"Canton-Massillon, OH Metro Area",2018,160202.44937833,0,4248.95204262877,1,154250,0
"Canton-Massillon, OH Metro Area",2019,61204.3763066202,0,1530.99128919861,1,52467,0
"Canton-Massillon, OH Metro Area",2020,137433.813333333,92.0588235294118,3166.435,5.17647058823529,127758,14
"Canton-Massillon, OH Metro Area",2021,79379.2158385093,385.882352941176,1761.20031055901,20.0588235294118,73859,23
"Cape Coral-Fort Myers, FL Metro Area",2018,192828.505007153,11445.75,4770.39628040057,756.821428571429,374206,1311
"Cape Coral-Fort Myers, FL Metro Area",2019,192787.757925072,4922.44827586207,4801.97982708934,196.137931034483,417389,1315
"Cape Coral-Fort Myers, FL Metro Area",2020,242790.585790885,8375.06666666667,5784.77882037534,157.4,489795,1263
"Cape Coral-Fort Myers, FL Metro Area",2021,311649.392487047,1311.1935483871,6803.98186528497,25.1612903225806,603943,252
"Cape Girardeau, MO-IL Metro Area",2018,22663.2643442623,0,719.43237704918,1,27107,0
"Cape Girardeau, MO-IL Metro Area",2019,14768.5809716599,0,403.512145748988,1,14970,0
"Cape Girardeau, MO-IL Metro Area",2020,22465.2805100182,0,591.865209471767,1,15799,0
"Cape Girardeau, MO-IL Metro Area",2021,24588.5079928952,1170,447.777975133215,37.5454545454545,17774,177
"Carbondale-Marion, IL Metro Area",2018,15004.7672955975,0,417.171907756813,1,10539,0
"Carbondale-Marion, IL Metro Area",2019,15091.0363636364,0,400.422727272727,1,7973,0
"Carbondale-Marion, IL Metro Area",2020,29178.3886554622,0,878.855042016807,1,35213,0
"Carbondale-Marion, IL Metro Area",2021,31777.4147843943,0,804.862422997947,1,43017,0
"Carson City, NV Metro Area",2018,15462.458,0,410.154,1,28786,0
"Carson City, NV Metro Area",2019,20214.9476861167,0,503.965794768612,0,26508,0
"Carson City, NV Metro Area",2020,26309.3639705882,0,623.625,1,43694,0
"Carson City, NV Metro Area",2021,16400.0433145009,0,319.580037664783,1,13642,0
"Casper, WY Metro Area",2018,32379.0072859745,0,816.018214936248,1,41111,0
"Casper, WY Metro Area",2019,36470.4316546763,0,704.125899280576,1,42752,0
"Casper, WY Metro Area",2020,35947.9107438017,1563.8,704.705785123967,33.5,53094,31
"Casper, WY Metro Area",2021,48798.3764135703,1328.5,1047.40872374798,24.5,66774,30
"Cedar Rapids, IA Metro Area",2018,113299.324185249,0,2406.18353344768,1,88183,0
