"NAME","Year","Total_Avg_Annual_Pay_Total","Total_Avg_Annual_Pay_Black_Business","Total_Avg_Employees_Total","Total_Avg_Employees_Black_Business","Total_Sum_of_Firms_Total","Total_Sum_of_Firms_Black_Business"
"North Carolina",2019,809927.832964296,47256.8244274809,19191.3659009134,1852.49809160305,10413222,90196
"North Carolina",2020,673411.561083179,40265.6458635704,15742.1951133457,1371.26124818578,14659673,107223
"North Carolina",2021,764206.783498867,57652.3187772926,15601.0895626416,1822.1018922853,15800430,159438
"North Dakota",2018,97056.1149912696,217.130434782609,2037.0790720878,7.88405797101449,806728,190
"North Dakota",2019,101080.360914761,56.5982905982906,2103.38357588358,2.28205128205128,960136,30
"North Dakota",2020,76143.8071323628,783.412429378531,1680.72726058501,43.2429378531073,1209777,1019
"North Dakota",2021,82669.4120072146,74.251282051282,1602.30932749291,4.04615384615385,1302077,366
"Ohio",2018,1167971.02037383,31091.9850374065,27329.6213084112,993.718204488778,9354363,37707
"Ohio",2019,1054716.9626745,37800.0988142292,23826.1077149155,1720.13241106719,10268062,54520
"Ohio",2020,895336.894957983,34694.5140186916,19963.7576097106,1259.41121495327,14295549,67628
"Ohio",2021,995818.557351598,42439.7507886435,19557.7509589041,1190.8596214511,14978146,65229
"Oklahoma",2018,307478.50172195,6650.08479532164,7604.64944716331,253.266081871345,3568057,8500
"Oklahoma",2019,301176.676466221,4008.50765306122,6991.02613214551,147.34693877551,3849512,7275
"Oklahoma",2020,235810.109488363,6610.14851485148,5825.49693771789,136.534653465347,5423632,12838
"Oklahoma",2021,268324.475329396,7378.23396226415,5721.63225806452,290.084905660377,5661769,17084
"Oregon",2018,410159.767153285,3355.06498194946,9737.99854014599,84.0072202166065,4856154,6308
"Oregon",2019,377901.994996321,3934.91049382716,8191.84164827079,147.950617283951,5348756,4853
"Oregon",2020,304757.359377893,6358.13114754098,6943.61359007591,172.070257611241,7374641,9931
"Oregon",2021,394869.322484941,10351.3662280702,7267.88096736492,277.684210526316,7784443,11602
"Pennsylvania",2018,1275727.84333333,36856.0203562341,27956.1757894737,1252.5903307888,11675523,41329
"Pennsylvania",2019,1268970.30073592,17951.0762886598,26532.6292103029,577.676288659794,13092938,33816
"Pennsylvania",2020,1040963.92064208,25342.4479495268,22524.5586617369,732.105678233439,18172585,50782
"Pennsylvania",2021,1082118.99723683,36127.8611940299,20866.9609590873,1027.07014925373,18651251,73463
"Rhode Island",2018,115870.115225335,1552.92888888889,2495.42533495737,39.16,960690,1062
"Rhode Island",2019,111658.265905062,1375.3357400722,2435.85818396691,59.7111913357401,1188293,2573
"Rhode Island",2020,96544.4501192119,4873.3982300885,2067.62994102146,172.126843657817,1626241,5837
"Rhode Island",2021,119844.391625616,4851.4168797954,2197.54568965517,93.5754475703325,1713991,5105
"South Carolina",2018,371577.58425467,12546.07,9919.78993518872,609.3575,4119184,26504
"South Carolina",2019,375965.250117242,11506.119266055,9701.75676098171,372.350917431193,4567732,24108
"South Carolina",2020,317057.363130129,21674.7243697479,8026.92497069168,884.173109243697,6237941,48813
"South Carolina",2021,373210.24137931,19794.2948517941,8063.28011336797,640.639625585023,7026384,62979
"South Dakota",2018,88692.5738196353,71.734693877551,2313.2003497377,4.28571428571429,996141,65
"South Dakota",2019,80704.3131009615,52.8373983739837,1992.05188301282,1.99186991869919,1082353,35
"South Dakota",2020,72598.1942849687,338.43137254902,1801.57646137787,21.8382352941176,1250169,457
"South Dakota",2021,87761.8755070994,391.326271186441,1894.23415314402,14.0805084745763,1666939,576
"Tennessee",2018,532046.146919431,15987.5989847716,12906.6081516588,526.119289340102,4445773,25218
"Tennessee",2019,550116.708766035,13556.8600917431,12618.1093463653,436.954128440367,5293636,24213
"Tennessee",2020,475010.746870788,17976.8289703316,10768.5354323127,533.055846422339,7607466,30735
"Tennessee",2021,528873.399906673,23102.1983193277,10715.9632291181,683.781512605042,7893327,48091
"Texas",2018,2311612.87366599,88318.1325966851,49237.0282665128,3305.6832412523,23996127,153595
"Texas",2019,2294415.66803032,92077.5008576329,47873.9913367826,3201.76500857633,27226336,167971
"Texas",2020,1850269.42914678,78764.4546568627,39545.4509994033,2857.86274509804,39032737,217986
"Texas",2021,2117004.56854278,98326.211627907,38778.4550245188,3079.06279069767,41192218,268032
"Utah",2018,319419.770293946,811.862190812721,7534.7924858867,24.8763250883392,3465760,1465
"Utah",2019,338407.739283429,809.192452830189,7537.00479846449,20.777358490566,4020115,1231
"Utah",2020,313868.917227057,2082.07989690722,6600.22498022152,60.4587628865979,5708304,3713
"Utah",2021,323043.09082172,1847.21683673469,6531.15242671792,66.25,6294307,4324
"Vermont",2018,68510.851530907,0,1722.06036972848,1,695925,0
"Vermont",2019,65226.9893833296,245.22602739726,1554.58007680145,7.86301369863014,782048,179
"Vermont",2020,59174.5467757866,291.376033057851,1357.43107097502,12.9132231404959,1049162,489
"Vermont",2021,63201.5133851468,392.479768786127,1227.55094991364,6.20809248554913,1093474,371
"Virginia",2018,855960.984239695,55504.5296523517,17172.1155178386,1489.0408997955,7700799,71783
"Virginia",2019,802442.545353056,60920.6784452297,15934.6427574658,1598.98409893993,8755325,87926
"Virginia",2020,677104.590099364,60224.9313432836,13486.8613373915,1730.18059701493,11999479,127050
"Virginia",2021,801078.516346154,84984.5598349381,13511.0012237762,1920.28473177442,12874550,124176
"Washington",2018,753362.001186441,8684.30913978495,14689.4862711864,288.629032258065,7977436,12754
"Washington",2019,751391.075281968,10106.7902869757,13484.2823753227,275.931567328918,8956455,13514
